Date,Sleep hours,Work hours,Habit
2026-03-06,10,2,Smell
2026-03-08,9,2,Shitting
2026-03-09,6,1,Walking
2026-03-09,10,2,Riding
2026-03-09,10,2,Riding
2026-03-09,10,2,Riding
2026-03-09,6,1,Yasuo
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,10,2,Shitting
2026-03-09,0,0,Eating
2026-03-09,0,0,Skbidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Kibidi
2026-03-09,0,0,Asd
2026-03-09,0,0,Hh
2026-03-09,12,2,Smell
2026-03-09,0,0,Walking
2026-03-09,0,0,Ko
2026-03-09,0,0,Eating
2026-03-09,0,0,Skbidi
2026-03-09,10,2,Asd
2026-03-09,0,0,Ask
2026-03-09,0,10,Riding
2026-03-10,10,2,Eating
2026-03-10,7,1,Walking
2026-03-12,10,2,Reading 
2026-03-16,10,2,Shitting
